OrderId,UserId,OrderValue,PaymentType,District,OrderSource,OrderType,DeliveryCharge,OrderPlacedDay,OrderConfirmDayOverPhone,IsCartOrder,OrderFromPromotionalEvent,isRTO
2545529,955588,318,MPD                 ,Dhaka,desktop,normal,0,6/17/2019 10:38,6/17/2019 4:41,Yes,Yes,No
2545528,955588,120,MPD                 ,Dhaka,desktop,normal,0,6/17/2019 10:38,6/17/2019 4:41,Yes,Yes,No
2545527,955588,130,MPD                 ,Dhaka,desktop,normal,35,6/17/2019 10:38,6/17/2019 4:41,Yes,Yes,No
2545525,956988,320,MPD                 ,Jessore,android,normal,55,6/17/2019 10:37,6/17/2019 4:46,No,No,No
2545512,660627,318,MPD                 ,Habiganj,android,normal,55,6/17/2019 10:31,6/17/2019 7:04,No,Yes,No
2545508,956761,550,MPD                 ,Bhola,android,normal,55,6/17/2019 10:29,6/17/2019 7:11,No,No,No
2545504,262486,75,ADC                 ,Dhaka,android,normal,0,6/17/2019 10:28,6/17/2019 4:34,Yes,No,No
2545503,262486,100,ADC                 ,Dhaka,android,normal,25,6/17/2019 10:28,6/17/2019 4:34,Yes,No,No
2545499,956600,350,MPD                 ,Nilphamari,mobile-site,normal,65,6/17/2019 10:27,6/17/2019 4:37,No,No,No
2545490,956781,170,MPD                 ,Dhaka,mobile-site,normal,35,6/17/2019 10:20,6/17/2019 5:49,No,No,No
2545484,377088,187,ADC                 ,Gazipur,android,normal,25,6/17/2019 10:18,6/17/2019 10:53,No,No,No
2545481,916729,175,MPD                 ,khulna City,android,normal,55,6/17/2019 10:15,6/17/2019 4:50,No,No,Yes
2545477,844391,378,MPD                 ,Dhaka,android,normal,100,6/17/2019 10:12,6/17/2019 5:45,No,No,No
2545475,619831,0,MPD                 ,Sirajganj,android,normal,0,6/17/2019 10:09,6/17/2019 4:21,Yes,Yes,No
2545474,619831,230,MPD                 ,Sirajganj,android,normal,55,6/17/2019 10:09,6/17/2019 4:21,Yes,Yes,No
2545468,822071,170,MPD                 ,Dhaka,android,normal,25,6/17/2019 9:59,6/17/2019 3:59,Yes,Yes,No
2545462,940459,199,MPD                 ,Gopalganj,android,normal,0,6/17/2019 9:51,6/17/2019 3:56,Yes,Yes,No
2545461,940459,270,MPD                 ,Gopalganj,android,normal,0,6/17/2019 9:51,6/17/2019 3:56,Yes,Yes,No
2545460,940459,1070,MPD                 ,Gopalganj,android,normal,55,6/17/2019 9:51,6/17/2019 3:56,Yes,Yes,No
2545459,532056,249,MPD                 ,Sunamganj,android,express,0,6/17/2019 9:49,6/17/2019 4:17,Yes,Yes,No
2545458,532056,220,MPD                 ,Sunamganj,android,express,75,6/17/2019 9:49,6/17/2019 4:17,Yes,Yes,No
2545456,956268,199,MPD                 ,Gazipur,android,normal,55,6/17/2019 9:46,6/17/2019 3:51,No,Yes,No
2545455,822347,158,MPD                 ,Dhaka,android,normal,25,6/17/2019 9:46,6/17/2019 3:45,No,Yes,Yes
2545451,956962,350,MPD                 ,Dhaka,mobile-site,normal,35,6/17/2019 9:37,6/17/2019 3:49,No,No,No
2545445,956963,194,MPD                 ,Dhaka,android,normal,25,6/17/2019 9:27,6/17/2019 3:49,No,Yes,Yes
2545441,935440,110,MPD                 ,Kushtia,android,normal,55,6/17/2019 9:21,6/17/2019 3:21,No,Yes,No
2545436,554264,0,MPD                 ,Rajshahi City,android,normal,0,6/17/2019 9:11,6/17/2019 3:19,Yes,Yes,No
2545435,554264,240,MPD                 ,Rajshahi City,android,normal,55,6/17/2019 9:11,6/17/2019 3:19,Yes,Yes,No
2545432,944111,499,MPD                 ,Chandpur,android,normal,0,6/17/2019 9:06,6/17/2019 3:34,Yes,No,No
2545431,531235,199,MPD                 ,Dhaka,android,normal,25,6/17/2019 9:06,6/17/2019 3:06,No,Yes,No
2545429,956956,137,MPS                 ,Dhaka (Outside City),android,normal,25,6/17/2019 9:03,6/17/2019 3:24,No,Yes,No
2545427,883328,188,MPD                 ,Rangpur,android,normal,55,6/17/2019 8:58,6/17/2019 2:58,No,No,No
2545424,956940,318,MPD                 ,Dhaka,android,normal,25,6/17/2019 8:56,6/17/2019 2:58,No,Yes,No
2545420,944111,600,MPD                 ,Chandpur,android,normal,0,6/17/2019 8:54,6/17/2019 3:34,Yes,Yes,No
2545418,944111,175,MPD                 ,Chandpur,android,normal,55,6/17/2019 8:53,6/17/2019 3:34,Yes,No,No
2545413,956955,318,MPD                 ,Narsingdi,android,normal,55,6/17/2019 8:47,6/17/2019 3:09,No,Yes,No
2545412,946881,140,MPD                 ,Dhaka,desktop,normal,0,6/17/2019 8:47,6/17/2019 3:11,Yes,Yes,No
